response,paper_symbol,fitted_coefficient,paper_coefficient,delta,absolute_delta,rounding_tolerance,within_rounding_tolerance,note
selectivity,b25,1.6999999999999988,1.7,-1.1102230246251565e-15,1.1102230246251565e-15,0.015,True,
selectivity,b34,1.2874999999999994,1.29,-0.002500000000000613,0.002500000000000613,0.015,True,
selectivity,b35,-1.1500000000000006,-1.15,-6.661338147750939e-16,6.661338147750939e-16,0.015,True,
selectivity,b45,-1.9250000000000003,-1.93,0.004999999999999671,0.004999999999999671,0.015,True,
anisotropy,b0,0.9665227272727274,0.969,-0.002477272727272606,0.002477272727272606,0.0015,False,
anisotropy,b1,-0.0464166666666667,-0.066,0.0195833333333333,0.0195833333333333,0.0015,False,
anisotropy,b2,0.0791666666666667,0.079,0.00016666666666670382,0.00016666666666670382,0.0015,True,
anisotropy,b3,0.001000000000000049,0.004,-0.002999999999999951,0.002999999999999951,0.0015,False,
anisotropy,b4,-0.015000000000000046,0.008,-0.023000000000000048,0.023000000000000048,0.0015,False,
anisotropy,b5,-0.03300000000000008,-0.043,0.009999999999999919,0.009999999999999919,0.0015,False,
anisotropy,b11,-0.05014772727272726,-0.04,-0.01014772727272726,0.01014772727272726,0.0015,False,
anisotropy,b22,-0.007772727272727436,-0.013,0.005227272727272563,0.005227272727272563,0.0015,False,
anisotropy,b33,-0.0255227272727273,-0.023,-0.0025227272727273015,0.0025227272727273015,0.0015,False,
anisotropy,b44,-0.049772727272727246,-0.035,-0.014772727272727243,0.014772727272727243,0.0015,False,
anisotropy,b55,-0.05152272727272721,-0.056,0.004477272727272788,0.004477272727272788,0.0015,False,
anisotropy,b12,0.028750000000000046,0.029,-0.0002499999999999551,0.0002499999999999551,0.0015,True,
anisotropy,b13,0.0037499999999999903,0.004,-0.00025000000000000976,0.00025000000000000976,0.0015,True,
anisotropy,b14,-0.024499999999999977,-0.039,0.014500000000000023,0.014500000000000023,0.0015,False,
anisotropy,b15,0.04324999999999999,0.058,-0.014750000000000013,0.014750000000000013,0.0015,False,
anisotropy,b23,0.039500000000000014,0.054,-0.014499999999999985,0.014499999999999985,0.0015,False,
anisotropy,b24,-0.01624999999999999,-0.016,-0.0002499999999999898,0.0002499999999999898,0.0015,True,
anisotropy,b25,0.035,0.035,0.0,0.0,0.0015,True,
anisotropy,b34,-0.01874999999999999,-0.019,0.00025000000000001063,0.00025000000000001063,0.0015,True,
anisotropy,b35,0.02749999999999995,0.028,-0.000500000000000049,0.000500000000000049,0.0015,True,
anisotropy,b45,0.021749999999999967,0.008,0.013749999999999967,0.013749999999999967,0.0015,False,
bias_voltage,b0,86.53409090909095,87.0,-0.46590909090905086,0.46590909090905086,0.75,True,
bias_voltage,b1,-65.37499999999999,-65.0,-0.3749999999999858,0.3749999999999858,0.75,True,
bias_voltage,b2,10.625000000000023,11.0,-0.3749999999999769,0.3749999999999769,0.75,True,
bias_voltage,b3,7.124999999999949,7.0,0.12499999999994937,0.12499999999994937,0.75,True,
bias_voltage,b4,-102.37500000000003,-102.0,-0.3750000000000284,0.3750000000000284,0.75,True,
bias_voltage,b5,88.79166666666669,89.0,-0.20833333333331439,0.20833333333331439,0.75,True,
bias_voltage,b11,29.465909090909122,29.0,0.4659090909091219,0.4659090909091219,0.75,True,
bias_voltage,b22,-0.9090909090908043,-1.0,0.09090909090919574,0.09090909090919574,0.75,True,
bias_voltage,b33,1.9659090909090609,2.0,-0.03409090909093915,0.03409090909093915,0.75,True,
bias_voltage,b44,38.21590909090909,38.0,0.2159090909090935,0.2159090909090935,0.75,True,
bias_voltage,b55,25.215909090909022,25.0,0.21590909090902244,0.21590909090902244,0.75,True,
bias_voltage,b12,-5.93749999999998,-6.0,0.06250000000002043,0.06250000000002043,0.75,True,
bias_voltage,b13,4.437500000000049,4.0,0.43750000000004885,0.43750000000004885,0.75,True,
bias_voltage,b14,22.937500000000043,23.0,-0.06249999999995737,0.06249999999995737,0.75,True,
bias_voltage,b15,-13.812499999999979,-14.0,0.18750000000002132,0.18750000000002132,0.75,True,
bias_voltage,b23,-16.937499999999996,-17.0,0.06250000000000355,0.06250000000000355,0.75,True,
bias_voltage,b24,1.5624999999999891,2.0,-0.4375000000000109,0.4375000000000109,0.75,True,
bias_voltage,b25,4.812499999999983,5.0,-0.18750000000001688,0.18750000000001688,0.75,True,
bias_voltage,b34,-6.562499999999972,7.0,-13.562499999999972,13.562499999999972,0.75,False,전사 적합과 논문 부호 불일치
bias_voltage,b35,-2.562500000000003,-3.0,0.4374999999999969,0.4374999999999969,0.75,True,
bias_voltage,b45,-46.062500000000014,-46.0,-0.06250000000001421,0.06250000000001421,0.75,True,
